iter	Passed	Remaining
0	0	692
1	1	651
2	1	645
3	2	680
4	3	666
5	3	659
6	4	656
7	5	658
8	5	660
9	6	659
10	7	654
11	8	659
12	8	662
13	9	661
14	10	670
15	10	663
16	11	675
17	12	689
18	13	685
19	13	685
20	14	682
21	15	680
22	15	678
23	16	674
24	17	670
25	17	669
26	18	664
27	19	661
28	19	659
29	20	654
30	20	651
31	21	650
32	22	650
33	22	649
34	23	648
35	24	646
36	24	643
37	25	640
38	25	637
39	26	635
40	27	635
41	27	633
42	28	632
43	29	630
44	29	628
45	30	626
46	30	625
47	31	624
48	32	622
49	32	620
50	33	618
51	33	617
52	34	615
53	35	615
54	35	614
55	36	612
56	36	612
57	37	613
58	38	614
59	39	614
60	39	614
61	40	612
62	41	611
63	41	610
64	42	610
65	42	608
66	43	608
67	44	607
68	44	605
69	45	603
70	46	602
71	46	601
72	47	599
73	47	597
74	48	596
75	48	595
76	49	594
77	50	594
78	50	593
79	51	591
80	52	590
81	52	589
82	53	589
83	53	588
84	54	587
85	55	586
86	55	585
87	56	584
88	57	583
89	57	583
90	58	582
91	58	580
92	59	580
93	60	578
94	60	577
95	61	576
96	61	574
97	62	573
98	62	572
99	63	571
100	64	570
101	64	570
102	65	569
103	65	568
104	66	567
105	67	566
106	67	567
107	68	566
108	69	565
109	69	564
110	70	563
111	71	563
112	71	562
113	72	561
114	72	560
115	73	558
116	73	557
117	74	556
118	75	556
119	75	555
120	76	555
121	77	554
122	77	554
123	78	554
124	79	553
125	79	552
126	80	552
127	81	551
128	81	551
129	82	550
130	82	549
131	83	548
132	84	548
133	84	547
134	85	546
135	86	546
136	86	545
137	87	544
138	88	545
139	88	545
140	89	544
141	89	543
142	90	542
143	91	542
144	91	541
145	92	540
146	93	539
147	93	538
148	94	537
149	94	537
150	95	536
151	96	536
152	96	535
153	97	534
154	97	533
155	98	533
156	99	532
157	99	531
158	100	531
159	101	530
160	101	529
161	102	528
162	102	527
163	103	526
164	103	526
165	104	525
166	105	524
167	105	524
168	106	523
169	107	523
170	107	522
171	108	521
172	108	520
173	109	519
174	110	519
175	110	518
176	111	518
177	111	516
178	112	515
179	113	514
180	113	514
181	114	513
182	115	513
183	115	512
184	116	512
185	116	511
186	117	510
187	118	510
188	118	509
189	119	508
190	119	508
191	120	506
192	120	505
193	121	505
194	122	504
195	122	503
196	123	502
197	123	502
198	124	501
199	125	500
200	125	499
201	126	499
202	126	498
203	127	497
204	128	496
205	128	496
206	129	494
207	129	494
208	130	493
209	130	492
210	131	491
211	132	490
212	132	489
213	133	488
214	133	487
215	134	487
216	134	486
217	135	485
218	135	484
219	136	484
220	137	483
221	137	482
222	138	481
223	138	481
224	139	480
225	139	478
226	140	478
227	140	477
228	141	476
229	141	475
230	142	474
231	143	473
232	143	472
233	144	471
234	144	471
235	145	470
236	145	469
237	146	468
238	147	468
239	147	467
240	148	466
241	148	466
242	149	465
243	149	463
244	150	462
245	150	462
246	151	461
247	151	460
248	152	459
249	152	458
250	153	457
251	153	457
252	154	456
253	155	455
254	155	454
255	156	453
256	156	452
257	157	451
258	157	451
259	158	450
260	158	449
261	159	447
262	159	447
263	160	446
264	160	445
265	161	444
266	161	443
267	162	443
268	162	442
269	163	441
270	163	440
271	164	440
272	165	439
273	165	438
274	166	437
275	166	436
276	166	435
277	167	434
278	167	433
279	168	432
280	168	431
281	169	431
282	169	430
283	170	429
284	170	428
285	171	427
286	171	427
287	172	426
288	173	425
289	173	424
290	174	424
291	174	423
292	175	422
293	175	421
294	176	421
295	176	420
296	177	419
297	177	418
298	178	418
299	178	417
300	179	416
301	179	416
302	180	415
303	181	414
304	181	413
305	182	413
306	182	412
307	183	411
308	183	411
309	184	410
310	184	409
311	185	408
312	185	407
313	186	406
314	186	406
315	187	405
316	188	405
317	188	404
318	189	404
319	189	403
320	190	402
321	190	402
322	191	401
323	192	400
324	192	399
325	193	399
326	193	398
327	194	397
328	194	397
329	195	396
330	195	395
331	196	395
332	196	394
333	197	393
334	197	393
335	198	392
336	198	391
337	199	390
338	199	389
339	200	389
340	201	388
341	201	387
342	202	387
343	202	386
344	203	385
345	203	385
346	204	384
347	205	384
348	205	383
349	206	382
350	206	382
351	207	381
352	207	380
353	208	380
354	208	379
355	209	378
356	209	378
357	210	377
358	210	376
359	211	376
360	212	375
361	212	374
362	213	374
363	213	373
364	214	373
365	214	372
366	215	371
367	215	370
368	216	370
369	217	369
370	217	369
371	218	368
372	218	367
373	219	367
374	219	366
375	220	365
376	220	365
377	221	364
378	222	363
379	222	363
380	223	362
381	223	361
382	224	361
383	224	360
384	225	359
385	225	359
386	226	358
387	226	357
388	227	357
389	228	356
390	228	356
391	229	355
392	229	354
393	230	354
394	230	353
395	231	352
396	231	352
397	232	351
398	233	351
399	233	350
400	234	349
401	234	349
402	235	348
403	235	347
404	236	347
405	236	346
406	237	346
407	238	345
408	238	344
409	239	344
410	239	343
411	240	343
412	240	342
413	241	341
414	242	341
415	242	340
416	243	339
417	243	339
418	244	338
419	245	338
420	245	337
421	246	337
422	246	336
423	247	335
424	247	335
425	248	334
426	248	334
427	249	333
428	250	332
429	250	332
430	251	331
431	251	330
432	252	330
433	252	329
434	253	328
435	253	328
436	254	327
437	254	327
438	255	326
439	255	325
440	256	325
441	256	324
442	257	323
443	258	323
444	258	322
445	259	321
446	259	321
447	260	320
448	260	320
449	261	319
450	261	318
451	262	318
452	263	317
453	263	316
454	264	316
455	264	315
456	265	315
457	265	314
458	266	313
459	266	313
460	267	312
461	267	311
462	268	311
463	268	310
464	269	310
465	269	309
466	270	308
467	271	308
468	271	307
469	272	306
470	272	306
471	273	305
472	273	304
473	274	304
474	274	303
475	275	303
476	275	302
477	276	301
478	277	301
479	277	300
480	278	300
481	278	299
482	279	298
483	279	298
484	280	297
485	280	296
486	281	296
487	281	295
488	282	294
489	282	294
490	283	293
491	283	293
492	284	292
493	284	291
494	285	291
495	285	290
496	286	289
497	287	289
498	287	288
499	288	288
500	288	287
501	289	286
502	289	286
503	290	285
504	290	285
505	291	284
506	291	283
507	292	283
508	293	282
509	293	282
510	294	281
511	294	280
512	295	280
513	295	279
514	296	279
515	296	278
516	297	277
517	297	277
518	298	276
519	298	275
520	299	275
521	299	274
522	300	274
523	301	273
524	301	272
525	302	272
526	302	271
527	303	271
528	303	270
529	304	269
530	304	269
531	305	268
532	305	268
533	306	267
534	307	266
535	307	266
536	308	265
537	308	265
538	309	264
539	309	263
540	310	263
541	310	262
542	311	262
543	311	261
544	312	260
545	312	260
546	313	259
547	314	259
548	314	258
549	315	257
550	315	257
551	316	256
552	316	256
553	317	255
554	317	254
555	318	254
556	319	253
557	319	253
558	320	252
559	320	251
560	321	251
561	321	250
562	322	250
563	322	249
564	323	248
565	323	248
566	324	247
567	325	247
568	325	246
569	326	246
570	326	245
571	327	244
572	327	244
573	328	243
574	328	243
575	329	242
576	330	241
577	330	241
578	331	240
579	331	240
580	332	239
581	332	239
582	333	238
583	333	237
584	334	237
585	334	236
586	335	236
587	336	235
588	336	234
589	337	234
590	337	233
591	338	233
592	338	232
593	339	231
594	339	231
595	340	230
596	341	230
597	341	229
598	342	229
599	342	228
600	343	227
601	343	227
602	344	226
603	344	226
604	345	225
605	345	224
606	346	224
607	346	223
608	347	223
609	347	222
610	348	221
611	349	221
612	349	220
613	350	220
614	350	219
615	351	218
616	351	218
617	352	217
618	352	217
619	353	216
620	353	216
621	354	215
622	354	214
623	355	214
624	356	213
625	356	213
626	357	212
627	357	211
628	358	211
629	358	210
630	359	210
631	360	209
632	360	209
633	361	208
634	361	207
635	362	207
636	362	206
637	363	206
638	363	205
639	364	204
640	364	204
641	365	203
642	365	203
643	366	202
644	367	202
645	367	201
646	368	200
647	368	200
648	369	199
649	369	199
650	370	198
651	370	197
652	371	197
653	371	196
654	372	196
655	373	195
656	373	195
657	374	194
658	374	193
659	375	193
660	375	192
661	376	192
662	376	191
663	377	191
664	378	190
665	378	189
666	379	189
667	379	188
668	380	188
669	380	187
670	381	186
671	381	186
672	382	185
673	382	185
674	383	184
675	383	184
676	384	183
677	385	182
678	385	182
679	386	181
680	386	181
681	387	180
682	387	180
683	388	179
684	389	178
685	389	178
686	390	177
687	390	177
688	391	176
689	391	176
690	392	175
691	392	174
692	393	174
693	393	173
694	394	173
695	395	172
696	395	171
697	396	171
698	396	170
699	397	170
700	397	169
701	398	169
702	398	168
703	399	167
704	399	167
705	400	166
706	401	166
707	401	165
708	402	165
709	402	164
710	403	163
711	403	163
712	404	162
713	405	162
714	405	161
715	406	161
716	406	160
717	407	159
718	407	159
719	408	158
720	408	158
721	409	157
722	409	157
723	410	156
724	411	155
725	411	155
726	412	154
727	412	154
728	413	153
729	413	153
730	414	152
731	414	151
732	415	151
733	416	150
734	416	150
735	417	149
736	417	149
737	418	148
738	418	147
739	419	147
740	419	146
741	420	146
742	421	145
743	421	145
744	422	144
745	422	143
746	423	143
747	423	142
748	424	142
749	424	141
750	425	141
751	426	140
752	426	139
753	427	139
754	427	138
755	428	138
756	428	137
757	429	137
758	430	136
759	430	135
760	431	135
761	431	134
762	432	134
763	432	133
764	433	133
765	433	132
766	434	131
767	434	131
768	435	130
769	436	130
770	436	129
771	437	129
772	437	128
773	438	128
774	439	127
775	439	126
776	440	126
777	440	125
778	441	125
779	441	124
780	442	124
781	442	123
782	443	122
783	443	122
784	444	121
785	444	121
786	445	120
787	446	120
788	446	119
789	447	118
790	447	118
791	448	117
792	448	117
793	449	116
794	449	115
795	450	115
796	450	114
797	451	114
798	452	113
799	452	113
800	453	112
801	453	112
802	454	111
803	454	110
804	455	110
805	455	109
806	456	109
807	456	108
808	457	108
809	458	107
810	458	106
811	459	106
812	459	105
813	460	105
814	460	104
815	461	104
816	461	103
817	462	102
818	462	102
819	463	101
820	464	101
821	464	100
822	465	100
823	465	99
824	466	98
825	466	98
826	467	97
827	467	97
828	468	96
829	469	96
830	469	95
831	470	94
832	470	94
833	471	93
834	471	93
835	472	92
836	472	92
837	473	91
838	473	90
839	474	90
840	474	89
841	475	89
842	475	88
843	476	88
844	477	87
845	477	86
846	478	86
847	478	85
848	479	85
849	479	84
850	480	84
851	480	83
852	481	82
853	481	82
854	482	81
855	482	81
856	483	80
857	483	80
858	484	79
859	485	78
860	485	78
861	486	77
862	486	77
863	487	76
864	487	76
865	488	75
866	488	74
867	489	74
868	489	73
869	490	73
870	490	72
871	491	72
872	492	71
873	492	71
874	493	70
875	493	69
876	494	69
877	494	68
878	495	68
879	495	67
880	496	67
881	496	66
882	497	65
883	497	65
884	498	64
885	499	64
886	499	63
887	500	63
888	500	62
889	501	61
890	501	61
891	502	60
892	502	60
893	503	59
894	503	59
895	504	58
896	504	57
897	505	57
898	505	56
899	506	56
900	507	55
901	507	55
902	508	54
903	508	54
904	509	53
905	509	52
906	510	52
907	510	51
908	511	51
909	511	50
910	512	50
911	513	49
912	513	48
913	514	48
914	514	47
915	515	47
916	515	46
917	516	46
918	517	45
919	517	45
920	518	44
921	518	43
922	519	43
923	519	42
924	520	42
925	520	41
926	521	41
927	521	40
928	522	39
929	522	39
930	523	38
931	523	38
932	524	37
933	525	37
934	525	36
935	526	35
936	526	35
937	527	34
938	527	34
939	528	33
940	528	33
941	529	32
942	530	32
943	530	31
944	531	30
945	531	30
946	532	29
947	532	29
948	533	28
949	534	28
950	534	27
951	535	26
952	535	26
953	536	25
954	536	25
955	537	24
956	537	24
957	538	23
958	538	23
959	539	22
960	540	21
961	540	21
962	541	20
963	541	20
964	542	19
965	542	19
966	543	18
967	543	17
968	544	17
969	544	16
970	545	16
971	545	15
972	546	15
973	547	14
974	547	14
975	548	13
976	548	12
977	549	12
978	549	11
979	550	11
980	550	10
981	551	10
982	552	9
983	552	8
984	553	8
985	553	7
986	554	7
987	554	6
988	555	6
989	556	5
990	556	5
991	557	4
992	557	3
993	558	3
994	558	2
995	559	2
996	559	1
997	560	1
998	560	0
999	561	0
